17042026
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
360ONE,M1,EQUITY,20,5,1,5,15,1,15
360ONE,M1,EQUITY,40,4,1,4,12,1,12
360ONE,M2,EQUITY,20,5,1,5,15,1,15
360ONE,M2,EQUITY,40,4,1,4,12,1,12
360ONE,M3,EQUITY,40,3,1,3,9,1,9
360ONE,M3,EQUITY,80,2,1,2,6,1,6
ABB,M1,EQUITY,50,12,1,12,36,1,36
ABB,M1,EQUITY,100,10,1,10,30,1,30
ABB,M2,EQUITY,50,12,1,12,36,1,36
ABB,M2,EQUITY,100,10,1,10,30,1,30
ABB,M3,EQUITY,100,6,1,6,18,1,18
ABB,M3,EQUITY,200,5,1,5,15,1,15
ABCAPITAL,M1,EQUITY,5,6,1,6,18,1,18
ABCAPITAL,M1,EQUITY,10,5,1,5,15,1,15
ABCAPITAL,M2,EQUITY,5,6,1,6,18,1,18
ABCAPITAL,M2,EQUITY,10,5,1,5,15,1,15
ABCAPITAL,M3,EQUITY,10,3,1,3,9,1,9
ABCAPITAL,M3,EQUITY,20,2,1,2,6,1,6
ADANIENSOL,M1,EQUITY,20,5,1,5,15,1,15
ADANIENSOL,M1,EQUITY,40,4,1,4,12,1,12
ADANIENSOL,M2,EQUITY,20,5,1,5,15,1,15
ADANIENSOL,M2,EQUITY,40,4,1,4,12,1,12
ADANIENSOL,M3,EQUITY,40,3,1,3,9,1,9
ADANIENSOL,M3,EQUITY,80,2,1,2,6,1,6
ADANIENT,M1,EQUITY,20,10,1,10,30,1,30
ADANIENT,M1,EQUITY,40,7,1,7,21,1,21
ADANIENT,M2,EQUITY,20,10,1,10,30,1,30
ADANIENT,M2,EQUITY,40,7,1,7,21,1,21
ADANIENT,M3,EQUITY,40,5,1,5,15,1,15
ADANIENT,M3,EQUITY,80,4,1,4,12,1,12
ADANIGREEN,M1,EQUITY,10,9,1,9,27,1,27
ADANIGREEN,M1,EQUITY,20,6,1,6,18,1,18
ADANIGREEN,M2,EQUITY,10,9,1,9,27,1,27
ADANIGREEN,M2,EQUITY,20,6,1,6,18,1,18
ADANIGREEN,M3,EQUITY,20,4,1,4,12,1,12
ADANIGREEN,M3,EQUITY,40,3,1,3,9,1,9
ADANIPORTS,M1,EQUITY,20,7,1,7,21,1,21
ADANIPORTS,M1,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M2,EQUITY,20,7,1,7,21,1,21
ADANIPORTS,M2,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M3,EQUITY,40,3,1,3,9,1,9
ADANIPORTS,M3,EQUITY,80,3,1,3,9,1,9
ADANIPOWER,M1,EQUITY,2.5,6,1,6,18,1,18
ADANIPOWER,M1,EQUITY,5,5,1,5,15,1,15
ADANIPOWER,M2,EQUITY,2.5,6,1,6,18,1,18
ADANIPOWER,M2,EQUITY,5,5,1,5,15,1,15
ADANIPOWER,M3,EQUITY,5,3,1,3,9,1,9
ADANIPOWER,M3,EQUITY,10,2,1,2,6,1,6
ALKEM,M1,EQUITY,50,11,1,11,33,1,33
ALKEM,M1,EQUITY,100,8,1,8,24,1,24
ALKEM,M2,EQUITY,50,11,1,11,33,1,33
ALKEM,M2,EQUITY,100,8,1,8,24,1,24
ALKEM,M3,EQUITY,100,5,1,5,15,1,15
ALKEM,M3,EQUITY,200,4,1,4,12,1,12
AMBER,M1,EQUITY,100,6,1,6,18,1,18
AMBER,M1,EQUITY,200,5,1,5,15,1,15
AMBER,M2,EQUITY,100,6,1,6,18,1,18
AMBER,M2,EQUITY,200,5,1,5,15,1,15
AMBER,M3,EQUITY,200,3,1,3,9,1,9
AMBER,M3,EQUITY,400,2,1,2,6,1,6
AMBUJACEM,M1,EQUITY,5,9,1,9,27,1,27
AMBUJACEM,M1,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M2,EQUITY,5,9,1,9,27,1,27
AMBUJACEM,M2,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M3,EQUITY,10,4,1,4,12,1,12
